"No.","Time","Source","Destination","Protocol","Length","Info","TX rate","Channel","Frequency","Signal"
"1388","759.106600","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=459/51969, ttl=127 (request in 1387)","18.0","11","2462MHz","-63 dBm"
"1389","760.114094","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=460/52225, ttl=128 (reply in 1390)","54.0","11","2462MHz","-36 dBm"
"1390","760.114920","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=460/52225, ttl=127 (request in 1389)","48.0","11","2462MHz","-62 dBm"
"1391","761.114344","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=461/52481, ttl=128 (reply in 1392)","54.0","11","2462MHz","-36 dBm"
"1392","761.115296","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=461/52481, ttl=127 (request in 1391)","54.0","11","2462MHz","-61 dBm"
"1393","762.132953","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=462/52737, ttl=128 (reply in 1394)","48.0","11","2462MHz","-36 dBm"
"1394","762.133698","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=462/52737, ttl=127 (request in 1393)","54.0","11","2462MHz","-59 dBm"
"1395","763.134605","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=463/52993, ttl=128 (no response found!)","54.0","11","2462MHz","-48 dBm"
"1396","764.136727","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=464/53249, ttl=128 (reply in 1397)","54.0","11","2462MHz","-50 dBm"
"1397","764.137528","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=464/53249, ttl=127 (request in 1396)","48.0","11","2462MHz","-59 dBm"
"1398","765.136968","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=465/53505, ttl=128 (reply in 1399)","54.0","11","2462MHz","-50 dBm"
"1399","765.137904","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=465/53505, ttl=127 (request in 1398)","48.0","11","2462MHz","-60 dBm"
"1400","766.140606","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=466/53761, ttl=128 (reply in 1401)","54.0","11","2462MHz","-50 dBm"
"1401","766.141462","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=466/53761, ttl=127 (request in 1400)","48.0","11","2462MHz","-60 dBm"
"1402","767.143471","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=467/54017, ttl=128 (reply in 1403)","54.0","11","2462MHz","-52 dBm"
"1403","767.144193","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=467/54017, ttl=127 (request in 1402)","48.0","11","2462MHz","-60 dBm"
"1404","767.144484","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=467/54017, ttl=127","48.0","11","2462MHz","-60 dBm"
"1405","767.144710","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=467/54017, ttl=127","48.0","11","2462MHz","-71 dBm"
"1406","767.144756","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=467/54017, ttl=127","48.0","11","2462MHz","-71 dBm"
"1407","767.145192","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=467/54017, ttl=127","36.0","11","2462MHz","-60 dBm"
"1408","768.143834","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=468/54273, ttl=128 (reply in 1409)","54.0","11","2462MHz","-37 dBm"
"1409","768.144818","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=468/54273, ttl=127 (request in 1408)","12.0","11","2462MHz","-60 dBm"
"1410","769.147458","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=469/54529, ttl=128 (reply in 1411)","54.0","11","2462MHz","-53 dBm"
"1411","769.148669","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=469/54529, ttl=127 (request in 1410)","24.0","11","2462MHz","-60 dBm"
"1412","770.149450","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=470/54785, ttl=128 (reply in 1413)","54.0","11","2462MHz","-51 dBm"
"1413","770.150369","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=470/54785, ttl=127 (request in 1412)","36.0","11","2462MHz","-61 dBm"
"1414","771.152360","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=471/55041, ttl=128 (no response found!)","54.0","11","2462MHz","-36 dBm"
"1415","771.152704","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=471/55041, ttl=128 (reply in 1416)","48.0","11","2462MHz","-36 dBm"
